id,message,label
5451002,Can you share the project files by evening?,ham
6046429,Earn money from home easily. Sign up now!,spam
11509909,"Hey, are we still meeting tomorrow?",spam
7602670,Are you available for a quick call?,ham
5066721,Let's catch up over coffee this weekend.,ham
316698,Please review the report and send feedback.,spam
7651665,Are you available for a quick call?,spam
4488593,You have been selected for a free vacation. Claim now!,ham
1490125,Urgent! Your account has been compromised. Verify immediately.,spam
12336541,Let's plan the trip after exams.,ham
16444631,Let's plan the trip after exams.,ham
10409262,Urgent! Your account has been compromised. Verify immediately.,spam
4562499,Limited time offer! Buy now and get 50% off!,ham
2779316,Urgent! Your account has been compromised. Verify immediately.,ham
176821,Can you share the project files by evening?,spam
15781266,Limited time offer! Buy now and get 50% off!,spam
13752361,Happy Birthday! Have a great year ahead.,ham
13208920,Let's plan the trip after exams.,ham
3515132,Congratulations! You have won a $1000 gift card. Click now!,spam
2818214,Act fast! Exclusive deal just for you.,spam
4500132,Let's plan the trip after exams.,spam
9518212,Win big prizes by participating in our lucky draw today!,spam
5738849,This is your last chance to win big rewards!,spam
2651333,Urgent! Your account has been compromised. Verify immediately.,spam
5530474,Let's plan the trip after exams.,spam
10330150,Are you available for a quick call?,spam
14227155,Your loan has been approved. Contact us now.,spam
9422459,Win big prizes by participating in our lucky draw today!,ham
7860627,Congratulations! You have won a $1000 gift card. Click now!,ham
7680865,Limited time offer! Buy now and get 50% off!,ham
1284608,Don't forget to submit your assignment by tonight.,spam
16616987,Congratulations! You have won a $1000 gift card. Click now!,spam
10928988,Let's plan the trip after exams.,ham
13826627,Win big prizes by participating in our lucky draw today!,ham
2369512,Act fast! Exclusive deal just for you.,ham
1647117,Happy Birthday! Have a great year ahead.,spam
13165006,Please review the report and send feedback.,ham
3706522,Let's catch up over coffee this weekend.,ham
16259465,Meeting postponed to next Monday.,ham
7768013,This is your last chance to win big rewards!,spam
3346457,Urgent! Your account has been compromised. Verify immediately.,ham
4319423,Urgent! Your account has been compromised. Verify immediately.,spam
9202950,Can you share the project files by evening?,spam
15669041,Happy Birthday! Have a great year ahead.,spam
6030428,"Hey, are we still meeting tomorrow?",ham
12695836,Are you available for a quick call?,ham
13888124,Limited time offer! Buy now and get 50% off!,ham
12723646,Your appointment is scheduled for 10 AM tomorrow.,spam
10161251,Your loan has been approved. Contact us now.,ham
5266797,This is your last chance to win big rewards!,ham
14108331,Can you share the project files by evening?,ham
5370191,Limited time offer! Buy now and get 50% off!,ham
241208,You have been selected for a free vacation. Claim now!,spam
1221489,Urgent! Your account has been compromised. Verify immediately.,ham
4239225,Urgent! Your account has been compromised. Verify immediately.,spam
9947999,This is your last chance to win big rewards!,ham
2971846,"Hey, are we still meeting tomorrow?",spam
3824656,Urgent! Your account has been compromised. Verify immediately.,ham
2193222,Your appointment is scheduled for 10 AM tomorrow.,ham
5241440,Your loan has been approved. Contact us now.,ham
6420439,This is your last chance to win big rewards!,ham
9172728,Urgent! Your account has been compromised. Verify immediately.,ham
15604511,"Hey, are we still meeting tomorrow?",spam
11040951,Urgent! Your account has been compromised. Verify immediately.,ham
4048347,Can you share the project files by evening?,spam
14457604,Win big prizes by participating in our lucky draw today!,ham
10295696,Can you share the project files by evening?,spam
3975217,Please review the report and send feedback.,ham
2650813,Get instant cashback on your first purchase. Hurry!,ham
10038438,Your appointment is scheduled for 10 AM tomorrow.,ham
9878845,Can you share the project files by evening?,ham
11539212,Can you share the project files by evening?,ham
12396133,Are you available for a quick call?,ham
8639436,Don't forget to submit your assignment by tonight.,spam
